ax,ay,az,gx,gy,gz
6.21,-7.713,-1.217,-0.589,0.104,0.09
5.965,-7.69,-1.681,-0.658,0.141,0.033
5.727,-7.827,-2.262,-0.704,0.165,-0.043
5.535,-8.086,-2.917,-0.688,0.159,-0.12
5.514,-8.368,-3.464,-0.607,0.118,-0.185
5.63,-8.622,-3.865,-0.465,0.065,-0.215
5.944,-8.717,-3.955,-0.305,-0.051,-0.194
6.234,-8.646,-3.86,-0.151,-0.17,-0.145
6.56,-8.43,-3.538,-0.051,-0.297,-0.065
6.741,-8.108,-3.179,-0.002,-0.428,0.03
6.698,-7.761,-2.847,-0.002,-0.544,0.109
6.392,-7.58,-2.658,-0.007,-0.558,0.136
5.969,-7.654,-2.545,-0.01,-0.531,0.135
5.428,-7.915,-2.482,0.004,-0.46,0.104
4.885,-8.297,-2.37,0.03,-0.362,0.046
4.496,-8.86,-2.211,0.084,-0.21,-0.027
4.453,-9.454,-2.01,0.12,-0.117,-0.078
4.718,-9.952,-1.833,0.103,-0.038,-0.045
5.204,-10.159,-1.643,0.024,-0.034,0.095
5.545,-10.087,-1.518,-0.086,-0.026,0.316
5.72,-9.759,-1.439,-0.23,-0.034,0.583
5.459,-9.297,-1.447,-0.368,0.013,0.834
4.884,-8.88,-1.426,-0.458,0.092,0.991
4.085,-8.639,-1.518,-0.498,0.202,1.029
3.347,-8.502,-1.729,-0.528,0.268,0.986
2.509,-8.403,-2.037,-0.544,0.297,0.871
1.827,-8.336,-2.37,-0.54,0.35,0.692
1.348,-8.272,-2.759,-0.519,0.417,0.451
1.148,-8.295,-3.129,-0.498,0.464,0.153
1.305,-8.409,-3.392,-0.468,0.494,-0.174
1.899,-8.295,-3.44,-0.44,0.5,-0.505
2.743,-8.123,-3.403,-0.404,0.489,-0.81
3.766,-7.911,-3.366,-0.364,0.417,-1.052
4.746,-7.67,-3.357,-0.316,0.314,-1.22
5.496,-7.457,-3.398,-0.255,0.213,-1.342
6.098,-7.609,-3.569,-0.197,0.135,-1.413
6.583,-7.756,-3.708,-0.185,-0.034,-1.435
6.824,-7.758,-3.857,-0.204,-0.176,-1.457
7.111,-7.716,-3.942,-0.225,-0.261,-1.477
7.567,-7.665,-4.053,-0.245,-0.335,-1.439
8.047,-7.48,-4.113,-0.24,-0.451,-1.311
8.399,-7.272,-4.284,-0.199,-0.512,-1.085
8.75,-7.086,-4.283,-0.117,-0.549,-0.75
8.824,-6.865,-4.233,-0.025,-0.578,-0.349
8.637,-6.678,-4.127,0.055,-0.552,0.061
8.309,-6.581,-4.095,0.097,-0.489,0.425
7.86,-6.613,-4.022,0.099,-0.426,0.699
7.31,-6.712,-4.05,0.055,-0.337,0.872
6.771,-6.848,-4.081,-0.027,-0.251,0.951
6.201,-6.956,-4.122,-0.119,-0.184,0.931
5.605,-7.014,-4.134,-0.196,-0.091,0.831
5.204,-7.108,-4.152,-0.234,0.018,0.684
4.918,-7.366,-4.127,-0.263,0.067,0.535
4.814,-7.55,-4.02,-0.271,0.132,0.412
4.949,-7.578,-3.926,-0.292,0.164,0.337
5.009,-7.543,-3.841,-0.314,0.178,0.285
5.063,-7.411,-3.806,-0.327,0.244,0.244
5.216,-7.192,-3.882,-0.307,0.304,0.173
5.278,-7.097,-4.097,-0.269,0.329,0.074
5.234,-7.237,-4.295,-0.212,0.36,-0.052
5.392,-7.547,-4.47,-0.165,0.385,-0.159
5.538,-7.905,-4.555,-0.125,0.274,-0.237
5.619,-8.227,-4.531,-0.07,0.199,-0.256
5.773,-8.472,-4.401,-0.013,0.092,-0.207
5.776,-8.565,-4.161,0.052,0.013,-0.113
5.746,-8.433,-3.789,0.124,-0.047,-0.017
5.738,-8.223,-3.358,0.178,-0.045,0.051
5.692,-7.909,-2.948,0.191,-0.07,0.066
5.583,-7.71,-2.665,0.176,-0.019,0.015
5.611,-7.615,-2.495,0.139,-0.005,-0.09
