ax,ay,az,gx,gy,gz
-8.388,4.489,3.331,-3.952,1.631,1.108
-3.094,6.889,5.881,-4.056,3.341,1.529
1.515,4.213,3.347,-3.922,3.935,1.394
2.026,2.944,2.086,-4.074,3.506,0.705
-0.104,3.687,2.198,-4.123,2.625,-0.511
-5.561,5.553,2.01,-4.169,1.99,-1.707
-9.99,8.878,4.124,-3.983,1.921,-3.171
-13.316,15.582,10.554,-3.476,2.434,-4.62
-19.612,24.221,22.894,-0.972,3.655,-4.553
-26.875,20.234,37.581,1.586,4.944,-2.372
-36.914,8.871,51.944,4.047,3.533,0.187
-38.495,-10.775,53.425,6.427,2.356,2.694
-39.504,-27.774,43.844,6.694,1.021,4.793
-35.347,-39.495,29.614,4.205,-1.081,4.653
-29.894,-33.904,15.55,1.134,-2.644,2.936
-17.508,-22.691,2.479,-1.605,-0.754,1.657
-12.559,-6.075,0.442,-4.322,0.281,1.17
-8.773,4.528,5.113,-5.174,1.589,1.189
-5.468,6.84,7.64,-5.023,4.103,1.416
-0.248,4.838,6.882,-4.419,5.245,0.941
0.79,2.857,4.913,-4.352,4.029,-0.116
-1.692,3.157,3.867,-4.34,3.561,-1.683
-4.811,4.177,2.751,-4.365,3.112,-3.65
-9.865,7.812,5.974,-4.365,2.226,-5.373
-17.157,13.224,15.561,-2.976,1.775,-6.603
-23.797,17.983,31.126,-0.303,3.599,-5.167
-32.976,4.407,46.1,2.401,3.748,-2.415
-32.942,-13.062,57.687,5.044,3.179,0.873
-31.833,-29.856,51.928,6.824,2.27,2.928
-27.648,-41.501,39.244,5.638,1.486,4.339
-25.854,-46.715,24.65,2.858,-0.916,3.343
-17.605,-32.149,11.067,0.257,-0.78,1.826
-15.476,-14.829,0.891,-2.308,-0.179,0.683
-12.023,-0.697,3.872,-4.041,0.905,0.99
-9.178,4.616,6.708,-4.261,2.351,1.577
-3.007,5.324,6.383,-4.085,4.625,1.619
1.107,3.466,5.234,-4.096,4.327,0.826
-0.069,2.741,4.851,-4.259,3.028,-0.267
-3.713,2.919,3.564,-4.355,2.536,-1.595
-7.999,4.665,3.908,-4.584,1.965,-2.915
-12.327,8.7,5.871,-4.425,1.604,-4.395
-18.163,19.862,14.111,-3.234,2.21,-5.037
-26.41,21.613,28.612,-0.507,4.273,-3.116
-37.304,11.348,44.428,2.046,4.523,-0.657
-37.97,-6.145,54.078,4.757,3.718,2.087
-37.511,-23.678,49.53,6.173,1.558,4.224
-35.38,-39.134,37.718,5.194,-0.037,5.101
-30.471,-41.612,22.773,2.213,-1.901,3.379
-19.111,-30.12,10.203,-0.505,-1.536,1.876
-15.455,-12.865,1.322,-3.133,-0.905,0.866
-12.355,0.934,4.251,-4.694,0.5,1.127
-9.434,4.746,7.216,-4.948,2.21,1.907
-2.867,4.853,7.135,-4.706,4.174,1.853
0.821,2.932,4.351,-4.772,2.562,1.113
-2.377,1.91,3.829,-5.123,1.578,0.072
-5.665,3.403,5.359,-5.144,2.605,-1.577
-9.426,6.451,6.614,-4.814,2.331,-3.362
-14.8,13.089,11.323,-3.62,2.169,-4.357
-21.098,19.105,19.139,-1.32,3.409,-4.446
-25.638,19.054,33.632,1.659,5.785,-2.953
-34.737,7.773,46.675,4.269,4.634,-0.369
-35.803,-10.839,55.125,6.595,3.616,2.712
-33.596,-30.088,47.589,7.549,1.656,4.434
-30.581,-42.244,35.653,5.802,0.878,4.583
-27.516,-43.374,20.219,2.835,-1.36,3.025
-18.758,-32.095,7.055,-0.015,-1.43,1.548
-15.266,-15.508,-1.358,-2.737,-0.989,0.518
-13.633,-2.526,2.14,-4.733,0.528,0.817
-10.088,3.521,7.221,-5.05,1.554,1.669
-3.702,5.447,7.804,-4.522,2.825,2.141
0.417,4.363,4.948,-4.112,2.994,1.62
0.122,4.457,2.611,-4.051,3.02,0.238
-2.603,5.382,1.24,-4.18,3.003,-1.529
-5.889,7.43,0.255,-4.069,2.789,-3.407
-11.391,11.083,2.996,-3.971,2.423,-4.905
-16.005,17.077,11.193,-2.543,2.943,-5.529
-22.276,18.517,27.562,0.119,4.406,-3.873
-30.942,10.112,42.825,2.833,3.555,-1.018
-34.65,-8.21,51.927,5.271,3.211,2.191
-30.982,-24.428,47.732,6.851,2.047,4.325
-29.804,-36.251,37.047,5.808,0.418,5.159
-26.678,-39.08,21.277,3.139,-1.994,3.992
-19.442,-29.888,7.815,0.439,-1.41,2.714
-13.96,-13.715,-0.225,-2.18,-0.966,1.662
-13.205,-2.003,1.597,-3.938,0.646,1.561
-9.414,3.072,5.575,-4.353,2.346,1.907
-4.202,3.739,6.346,-4.16,3.698,2.095
-0.108,2.02,4.681,-3.965,3.506,1.375
-1.037,1.971,3.115,-4.139,2.897,0.175
-4.101,1.707,2.465,-4.442,2.921,-1.379
-8.349,2.259,2.428,-4.845,2.302,-3.048
-13.706,6.496,6.259,-4.906,2.081,-4.684
-20.365,15.17,14.81,-3.589,2.847,-5.487
-26.4,17.701,29.45,-0.796,4.562,-4.033
-36.212,11.065,44.224,2.027,4.337,-1.369
-39.32,-4.395,53.333,4.839,4.332,1.744
-35.74,-19.813,49.542,6.98,3.396,4.238
-30.843,-35.63,38.547,6.552,2.1,5.291
-25.51,-40.991,22.64,4.086,-0.406,3.865
-17.488,-33.574,8.569,1.108,-1.543,1.927
-13.223,-16.441,0.37,-1.672,-1.686,0.648
-12.827,-4.933,0.853,-4.045,-0.614,0.627
-10.366,1.421,4.63,-5.151,0.887,1.304
-6.98,3.983,6.833,-5.458,2.826,2.042
-1.005,5.307,7.045,-5.056,3.813,2.354
1.687,7.07,5.688,-4.324,3.39,1.778
1.916,12.035,4.501,-3.256,2.318,0.828
1.702,15.816,2.894,-1.658,1.209,-0.109
1.34,18.789,2.022,0.538,0.935,-1.395
2.586,21.783,2.521,2.419,0.765,-2.936
-1.767,26.038,16.451,4.161,0.152,-3.777
-12.685,14.859,29.393,5.862,1.067,-2.086
-22.913,-2.904,36.984,6.985,1.835,-0.078
-23.316,-18.001,38.77,6.413,0.463,2.205
-28.339,-29.835,34.524,5.17,-0.164,3.705
-27.865,-40.462,19.705,2.722,-0.075,4.274
-21.57,-32.696,9.765,-0.467,-0.417,2.701
-13.735,-16.72,6.709,-3.641,-0.038,1.533
-13.2,-4.967,7.944,-5.58,1.811,0.812
-9.434,1.849,12.696,-6.661,3.061,0.987
-5.5,4.77,14.647,-6.706,4.738,1.232
-0.397,3.601,12.717,-6.238,5.723,0.624
0.811,2.306,8.508,-5.802,4.869,-1.095
-2.759,3.47,6.628,-5.487,3.33,-3.189
-9.277,5.206,6.538,-5.25,2.37,-4.888
-11.781,10.61,10.495,-4.045,1.296,-6.225
-19.764,13.961,19.757,-2.219,1.331,-6.995
-22.329,14.924,35.296,0.519,2.656,-5.059
-27.079,2.394,49.973,3.293,3.465,-1.756
-28.735,-15.283,58.558,6.075,3.851,1.113
-28.561,-35.05,52.231,7.729,3.237,3.058
-22.145,-45.37,38.01,6.476,2.145,4.34
-22.463,-48.249,22.282,3.428,-0.642,3.372
-19.022,-34.086,10.168,0.381,-0.856,1.96
-12.347,-17.585,2.404,-2.534,-0.246,1.168
-9.823,-2.969,6.037,-5.393,1.207,1.409
-7.128,3.976,11.022,-5.919,1.99,1.927
-2.869,7.745,10.797,-5.291,3.826,2.1
0.016,7.5,6.201,-4.421,4.021,1.353
-0.508,9.336,2.7,-3.596,3.596,-0.074
-2.899,12.689,-0.432,-2.908,3.714,-2.296
-2.363,20.679,2.955,-2.298,3.977,-4.399
-13.857,24.599,17.091,-0.384,4.059,-4.628
-21.952,15.784,33.598,1.793,2.916,-2.469
-35.936,-2.131,45.605,3.883,3.019,0.072
-34.041,-22.195,46.659,5.888,1.65,2.894
-38.29,-39.641,38.479,5.858,0.14,4.813
-30.995,-48.242,23.283,3.745,-1.488,4.634
-26.662,-38.24,10.771,0.952,-0.96,3.104
-12.211,-22.496,1.413,-1.739,-0.765,2.055
-11.525,-6.2,2.314,-4.297,0.387,1.487
-7.377,4.188,7.784,-4.932,1.634,1.67
-3.06,7.428,9.093,-4.757,3.092,2.081
1.914,5.556,4.33,-4.26,3.64,1.303
0.817,6.27,1.828,-3.957,3.46,-0.382
-1.439,6.885,-0.674,-3.681,3.174,-2.431
-6.606,7.483,-3.037,-3.549,2.563,-4.192
-10.413,10.935,0.961,-3.678,2.885,-5.568
-14.201,14.062,10.027,-2.847,2.912,-6.199
-20.087,12.196,24.913,-0.459,3.837,-4.349
-28.012,1.031,41.28,1.99,3.261,-1.299
-31.77,-17.141,52.434,4.586,3.532,1.768
-31.221,-33.771,48.11,7.023,1.902,4.225
-29.489,-45.297,38.972,6.58,1.47,5.78
-24.435,-46.388,23.972,3.847,-1.212,5.021
-18.911,-34.953,9.308,1.055,-1.091,3.746
-12.827,-17.734,1.684,-1.715,-0.808,2.735
-9.708,-4.321,4.309,-4.132,0.651,2.32
-7.181,3.602,7.529,-4.782,1.028,2.487
-5.214,6.227,8.514,-4.388,3.173,2.323
-2.317,5.339,7.209,-3.941,4.445,1.25
-2.387,5.249,4.203,-3.71,4.608,-0.693
-5.02,6.125,2.966,-3.898,3.975,-3.108
-9.635,13.557,6.989,-3.668,4.135,-5.127
-15.684,18.895,15.875,-1.638,3.456,-5.35
-22.303,18.38,31.845,0.707,3.974,-3.221
-33.575,8.355,47.585,3.245,3.108,-0.267
-40.552,-8.037,56.149,5.988,3.575,3.225
-38.303,-28.714,49.893,7.744,2.191,5.916
-35.057,-41.118,36.676,5.751,1.561,6.215
-30.542,-42.925,21.302,2.432,-1.306,4.15
-22.202,-30.198,10.048,-1.017,-0.988,2.892
-13.074,-13.662,4.478,-4.096,-0.415,1.915
-10.609,-1.022,7.005,-6.33,1.469,1.418
-5.325,7.578,12.411,-6.503,2.955,1.701
-0.562,10.208,11.328,-5.403,5.18,2.282
4.9,7.889,5.194,-4.008,5.007,1.305
1.882,7.193,0.766,-3.152,3.502,-0.357
-0.072,8.855,-1.26,-2.516,2.95,-2.419
-3.567,11.474,-0.666,-2.332,2.122,-4.463
-3.495,20.988,7.962,-1.134,1.02,-6.238
-10.365,23.505,25.351,0.92,2.04,-6.49
-13.949,19.476,41.429,3.144,4.023,-3.851
-27.848,9.774,55.104,5.311,3.261,-0.746
-30.515,-7.59,59.062,7.604,2.717,2.245
-36.948,-26.835,47.902,7.032,2.376,4.32
-33.155,-34.721,31.886,4.198,1.144,4.125
-31.779,-32.731,18.413,0.705,-2.167,1.32
-21.903,-21.244,10.775,-2.776,-1.215,-0.514
-18.846,-6.756,8.317,-6.122,-0.175,-1.359
-13.793,3.252,15.282,-7.664,1.317,-1.156
-10.403,7.529,18.201,-7.842,2.641,-0.013
-3.388,9.63,18.048,-7.085,5.061,0.975
2.698,7.814,11.819,-6.021,4.518,0.613
1.566,6.501,6.967,-5.344,3.371,-0.515
-0.824,8.683,3.632,-4.85,2.508,-2.21
-2.88,15.637,3.586,-3.891,1.491,-4.018
-5.939,23.186,9.127,-1.99,0.971,-5.288
-12.346,22.956,25.381,0.426,2.428,-5.162
-19.402,17.273,42.028,3.096,3.877,-2.687
-30.791,2.807,54.924,5.736,4.22,0.206
-32.698,-18.066,55.824,7.566,2.914,3.513
-36.169,-36.105,43.816,6.557,2.461,4.927
-33.319,-41.201,27.074,3.357,-0.316,4.284
-32.022,-34.183,16.511,-0.135,-1.242,2.224
-21.174,-20.885,8.314,-3.253,-0.237,0.598
-17.832,-5.393,8.646,-5.909,1.413,-0.771
-12.343,4.943,15.075,-6.719,1.9,-0.438
-8.103,9.155,17.014,-5.95,3.725,0.764
1.733,8.512,11.305,-4.624,4.299,0.961
5.187,7.287,4.763,-3.942,2.466,0.158
