ax,ay,az,gx,gy,gz
-0.957,-22.135,7.575,-2.08,-2.816,-1.334
-4.569,-18.587,6.633,-3.223,-0.617,0.029
-4.023,1.135,3.937,-4.711,1.768,0.743
4.178,11.175,5.56,-3.739,3.205,1.284
4.119,19.181,2.35,-3.098,2.219,1.448
3.535,25.487,-2.01,-2.312,0.912,1.323
3.819,24.59,-2.034,-0.431,-1.737,0.09
-0.247,6.815,-0.562,2.214,-4.291,-0.39
-11.009,-1.127,-2.947,2.762,-4.577,-0.547
-9.918,-6.609,-2.105,3.296,-2.641,-0.303
-7.607,-12.576,1.05,3.617,-1.139,-0.281
-4.359,-14.78,0.391,3.178,-0.192,-0.484
-1.914,-14.9,0.176,2.427,1.128,-0.493
0.778,-13.732,-0.574,1.598,1.217,-0.428
0.942,-12.289,-0.325,1.035,1.043,-0.3
1.351,-10.179,-0.881,0.517,0.546,-0.169
1.203,-9.77,0.357,0.292,0.31,0.005
1.427,-10.039,0.851,0.059,-0.565,0.099
1.115,-10.992,0.885,-0.346,-1.14,-0.005
1.807,-14.0,2.187,-0.688,-1.699,-0.289
1.203,-17.812,3.781,-1.195,-2.217,-0.623
-0.703,-22.409,6.033,-1.79,-2.133,-0.942
-3.076,-22.107,7.716,-2.718,-0.417,-0.284
-3.824,-8.963,9.009,-4.204,1.823,0.824
0.17,4.106,12.479,-3.754,4.113,1.147
1.838,10.874,13.366,-2.669,2.993,1.036
0.271,19.656,7.322,-2.206,3.313,1.028
4.505,24.718,4.042,-1.053,1.515,0.379
1.451,15.831,1.927,1.453,-1.978,-0.588
-6.96,6.078,-1.978,2.346,-4.601,-0.769
-9.506,1.539,-2.868,2.732,-2.643,-0.483
-6.797,-4.033,1.197,3.759,-2.557,-0.542
-7.28,-11.479,3.361,4.146,-1.406,-0.67
-3.347,-16.273,3.134,3.538,0.25,-0.85
0.586,-16.852,1.831,2.435,1.509,-0.738
2.095,-14.897,-0.146,1.531,0.956,-0.613
1.912,-13.011,-0.46,0.759,0.758,-0.256
0.923,-10.306,-1.02,0.284,0.122,-0.121
0.894,-8.974,-0.088,0.132,-0.069,0.016
1.447,-9.738,0.693,0.102,-0.82,-0.007
2.054,-12.772,2.723,-0.203,-1.058,-0.144
3.02,-16.606,4.618,-0.683,-1.738,-0.403
1.292,-20.906,6.929,-1.356,-2.105,-0.592
-1.182,-22.015,7.986,-2.453,-0.602,-0.046
0.616,-9.356,8.952,-4.123,1.514,1.091
1.57,3.139,7.234,-4.111,3.84,1.97
3.73,10.72,4.986,-3.658,3.828,1.863
5.425,20.325,0.543,-2.961,4.081,1.671
8.816,26.943,-2.133,-1.392,1.727,0.98
3.342,19.025,-3.484,1.303,-1.765,-0.502
-2.313,9.462,-1.852,2.627,-4.663,-1.51
-5.63,3.006,0.713,3.549,-3.877,-1.301
-6.569,-4.316,2.665,4.063,-3.236,-1.012
-7.408,-12.142,5.542,4.04,-1.467,-0.958
-3.703,-16.552,5.853,3.188,0.517,-0.58
0.467,-17.058,4.289,2.072,1.841,-0.278
1.953,-14.644,1.94,0.966,1.74,-0.04
2.245,-12.262,1.328,0.446,0.637,0.084
0.729,-9.712,-0.18,0.105,0.145,0.301
-0.39,-9.106,-0.501,0.051,-0.173,0.395
-1.264,-9.214,-0.659,0.052,-0.553,0.41
-1.385,-9.867,-0.537,0.09,-0.594,0.325
0.251,-13.829,0.53,-0.234,-0.475,0.009
2.012,-20.72,2.982,-0.958,-1.204,-0.652
-0.76,-26.114,5.504,-1.811,-0.709,-1.121
-2.433,-24.698,7.9,-3.253,1.244,-0.21
-1.952,-6.525,4.321,-4.785,2.169,0.488
0.718,-0.886,6.853,-4.283,2.776,0.582
1.987,11.638,2.729,-3.654,2.961,0.703
7.245,22.621,-0.964,-2.514,1.733,0.744
6.732,25.431,-3.505,-0.23,-1.759,-0.649
2.205,7.889,0.334,2.018,-3.576,-1.542
-3.844,4.372,-2.254,2.553,-4.152,-1.533
-6.355,-2.435,-0.826,3.139,-3.293,-1.208
-8.683,-10.153,0.206,3.25,-2.133,-0.949
-6.245,-15.54,0.296,2.707,-0.198,-0.672
-2.078,-16.023,0.145,2.161,1.072,-0.522
-0.301,-14.471,-0.242,1.443,1.501,-0.397
0.325,-13.012,0.579,0.861,1.199,-0.224
0.314,-10.637,0.6,0.487,0.734,-0.042
0.476,-9.582,1.083,0.251,0.407,0.229
-0.322,-9.284,0.837,0.11,-0.313,0.369
-0.395,-9.99,0.792,-0.08,-0.626,0.432
0.078,-12.087,1.105,-0.41,-1.112,0.229
1.492,-16.791,2.936,-0.973,-1.441,-0.323
0.838,-23.847,4.723,-1.821,-1.79,-1.093
-2.268,-26.335,6.487,-2.507,-0.842,-1.122
-3.831,-12.934,8.872,-4.093,1.145,0.592
-3.117,-0.35,7.187,-4.381,2.129,1.409
-0.136,8.113,5.995,-4.022,3.306,1.532
2.146,22.498,1.373,-3.063,3.461,1.57
5.983,30.619,-2.068,-2.046,1.407,1.151
2.554,19.627,-3.573,0.528,-2.086,-0.78
-1.02,6.584,-2.362,1.89,-3.319,-1.456
-6.708,0.4,-3.421,2.926,-3.54,-1.168
-6.983,-8.465,-0.622,3.356,-2.707,-0.474
-7.91,-14.77,0.551,3.488,-1.545,-0.186
-3.126,-17.225,-0.762,2.771,0.287,0.021
-1.171,-15.07,-1.557,2.106,0.997,0.05
-0.192,-12.675,-1.194,1.273,0.593,0.152
-1.789,-10.649,-1.419,0.765,-0.028,0.165
-1.827,-9.743,-0.75,0.416,0.214,0.307
-1.457,-9.434,0.017,0.286,-0.013,0.252
-0.709,-10.971,1.59,0.115,-0.415,-0.018
0.931,-14.728,3.239,-0.248,-1.17,-0.566
0.931,-18.708,5.025,-0.946,-1.808,-1.2
-0.207,-22.144,5.829,-1.879,-1.491,-1.371
-1.818,-22.286,7.052,-2.931,0.228,-0.612
1.001,-3.803,6.796,-4.602,2.243,0.86
5.404,6.312,8.576,-4.201,2.832,1.641
7.487,14.928,3.469,-3.926,3.729,1.829
9.569,23.77,-0.26,-2.879,3.116,1.558
11.21,29.211,-3.231,-1.306,-0.208,0.531
3.253,13.567,-3.666,1.165,-3.7,-1.201
-4.355,6.517,-6.665,1.606,-3.958,-1.912
-7.033,0.351,-3.219,2.484,-4.088,-1.888
-7.459,-5.912,-1.322,2.813,-3.081,-1.676
-7.087,-11.947,-0.171,2.65,-0.717,-1.371
-2.002,-13.579,-0.371,2.189,1.152,-0.811
-0.487,-13.133,-0.478,1.834,1.641,-0.402
0.881,-11.828,-0.306,1.49,1.758,-0.093
0.763,-11.255,0.702,1.177,0.809,0.006
0.274,-10.422,0.741,0.902,-0.014,-0.012
-0.47,-10.441,0.381,0.606,-0.216,-0.102
0.954,-11.125,0.523,0.216,-0.473,-0.268
1.646,-12.599,1.296,-0.239,-1.183,-0.624
3.247,-18.693,3.653,-0.669,-1.667,-0.95
1.406,-23.71,5.028,-1.316,-1.175,-0.973
1.132,-19.57,9.041,-3.029,0.652,0.491
-2.463,-1.371,5.414,-4.547,2.484,1.096
-0.077,3.524,7.176,-3.764,1.322,1.024
-3.149,15.427,0.97,-3.67,2.227,0.836
-0.209,25.314,-1.905,-2.766,0.852,0.754
-3.581,22.804,-5.76,-0.07,-2.641,-0.575
-2.98,4.174,-1.847,2.685,-4.493,-0.873
-7.439,-1.019,-4.205,2.977,-2.458,-0.356
-5.544,-8.288,-0.065,3.703,-2.482,0.216
-6.842,-13.724,1.304,3.689,-1.341,0.277
-2.94,-15.711,1.15,2.94,0.529,-0.005
-1.038,-14.671,0.281,1.997,0.35,-0.41
-0.289,-12.827,-0.056,1.267,0.013,-0.674
-0.95,-10.885,-0.391,0.734,-0.394,-0.785
-1.203,-9.945,-0.097,0.41,-0.641,-0.752
-1.489,-9.3,0.136,0.113,-0.956,-0.567
-1.259,-9.551,0.407,-0.141,-0.838,-0.336
0.188,-11.348,0.92,-0.397,-1.048,-0.291
2.754,-16.598,2.581,-0.795,-1.127,-0.493
2.608,-22.082,6.548,-1.514,-1.236,-0.656
-0.723,-24.244,9.091,-2.825,0.222,-0.237
4.664,-6.798,10.367,-4.413,2.135,0.933
8.17,3.241,11.713,-4.138,2.316,1.416
8.039,14.339,6.629,-3.884,2.636,1.272
8.877,25.66,-0.111,-2.676,1.585,0.944
8.467,31.53,-1.541,-0.46,-1.428,-0.08
-0.096,13.264,-2.956,1.972,-3.962,-1.75
-5.25,2.465,-5.272,2.462,-3.386,-2.323
-6.956,-5.086,-1.471,3.173,-2.127,-1.994
-4.901,-11.99,1.963,2.974,-0.513,-1.458
-1.568,-16.184,0.656,2.171,1.361,-0.861
1.839,-14.978,0.649,1.393,2.437,-0.337
2.425,-12.258,0.337,0.923,1.778,-0.162
1.363,-10.644,-0.378,0.527,0.682,-0.093
-0.812,-9.686,-0.86,0.363,0.331,-0.174
-0.333,-8.863,-0.612,0.408,-0.007,-0.167
-1.03,-8.993,-0.767,0.491,-0.551,-0.117
-1.241,-9.701,-0.056,0.342,-0.647,-0.012
0.075,-11.051,0.557,0.052,-1.133,-0.066
2.016,-14.029,1.917,-0.355,-1.16,-0.269
3.344,-19.868,4.418,-0.948,-1.541,-0.605
1.448,-22.608,7.189,-1.931,-0.516,-0.488
-0.461,-14.098,9.658,-3.633,1.486,0.825
-0.811,0.683,7.243,-4.044,2.566,1.488
-0.102,9.015,5.448,-3.676,2.147,1.159
-2.319,21.594,-0.31,-2.849,1.119,0.726
-1.751,29.266,-3.792,-1.113,-1.351,0.082
-4.562,20.842,-4.329,1.714,-4.439,-1.938
-5.366,4.661,-2.383,3.062,-4.637,-2.764
-7.583,-3.006,-0.501,3.577,-2.818,-2.196
-5.285,-11.466,3.528,3.55,-1.006,-1.479
-3.71,-16.938,4.343,2.871,0.941,-1.007
1.507,-16.591,1.969,1.727,2.506,-0.372
2.185,-13.8,1.614,0.787,1.94,-0.191
1.5,-11.296,-0.229,0.198,0.675,-0.229
-0.059,-9.588,-1.199,0.034,0.375,-0.215
-0.424,-8.977,-1.231,0.03,0.027,-0.219
-1.11,-8.901,-1.076,0.103,-0.295,-0.188
-1.232,-9.131,-0.667,0.14,-0.45,-0.101
-0.115,-10.099,-0.146,0.107,-0.675,-0.145
2.178,-13.356,1.231,-0.118,-0.762,-0.344
4.125,-18.789,3.198,-0.739,-1.306,-0.655
2.181,-22.237,6.154,-1.696,-0.928,-0.452
2.299,-17.16,10.413,-3.407,0.98,1.201
2.612,-1.526,7.453,-4.19,1.696,2.136
3.783,6.51,5.411,-4.056,1.641,1.732
1.085,17.678,-0.458,-3.211,1.437,1.393
3.925,25.925,-4.637,-1.589,0.101,0.962
-0.328,22.385,-7.896,1.002,-3.392,-1.12
-4.289,7.282,-4.82,2.558,-4.048,-2.232
-7.585,0.627,-3.064,3.122,-3.355,-1.627
