ax,ay,az,gx,gy,gz
19.355,18.054,-3.893,-1.335,1.636,1.591
18.705,11.911,-6.601,0.706,1.203,0.402
15.078,3.501,-6.268,2.336,-0.952,0.123
10.702,-3.752,-1.75,3.52,-1.369,0.173
9.056,-7.701,2.316,3.913,-1.587,0.553
5.809,-8.839,3.532,3.453,-2.758,1.263
0.775,-6.763,1.816,3.032,-2.829,1.091
0.737,-7.041,0.618,2.734,-1.426,0.595
2.015,-8.161,-1.123,2.322,-0.978,-0.117
4.414,-8.2,-2.432,2.18,-0.578,-0.762
7.156,-8.206,-2.333,2.124,-0.817,-1.457
9.438,-9.455,-1.716,2.125,-1.48,-2.477
12.261,-12.456,2.059,2.065,-1.87,-3.726
12.241,-19.104,9.747,1.1,-2.638,-4.06
13.53,-20.998,20.126,-1.05,-2.291,-2.813
16.534,-17.455,30.281,-3.22,-2.021,-0.801
21.367,-13.357,37.423,-5.468,-1.125,1.5
23.687,0.076,37.299,-7.431,-0.94,3.508
25.508,15.561,28.992,-7.207,-0.136,4.87
23.821,21.831,17.397,-4.945,-0.118,4.324
20.98,19.776,5.897,-2.294,0.802,2.87
17.061,15.481,-1.571,0.501,0.329,1.935
12.258,5.304,-3.997,2.941,-0.681,1.691
9.254,-3.312,-1.559,4.028,-1.592,1.263
7.813,-7.501,0.655,4.061,-2.616,1.001
5.02,-8.928,2.343,3.601,-3.862,0.902
2.062,-7.634,2.326,2.959,-3.656,0.391
1.789,-7.488,1.487,2.411,-2.526,-0.242
2.719,-6.845,0.415,2.083,-1.416,-0.953
5.114,-6.497,-0.009,2.117,-0.606,-1.709
9.23,-6.265,0.741,2.453,-0.885,-2.556
12.742,-6.519,1.052,2.695,-1.632,-3.591
17.829,-8.69,3.058,2.864,-2.136,-4.307
18.983,-13.889,7.313,2.387,-3.724,-4.458
23.397,-16.908,15.182,0.877,-4.077,-3.109
25.728,-14.52,22.832,-1.649,-3.554,-0.453
30.128,-8.947,30.634,-4.045,-2.186,2.507
29.702,-0.837,33.729,-6.338,-1.537,5.049
31.811,13.319,32.15,-7.271,0.307,6.385
27.257,22.118,23.377,-6.432,1.041,6.177
23.979,22.569,13.759,-4.253,2.136,4.631
19.33,18.578,4.384,-1.852,2.046,2.986
18.156,11.995,-0.351,0.904,2.087,1.807
16.111,2.24,-2.398,2.704,1.145,1.731
14.929,-4.482,-0.319,3.47,0.051,1.927
13.321,-7.11,1.96,3.585,-2.026,2.185
10.143,-8.407,3.941,3.299,-3.863,2.081
6.33,-7.48,3.779,2.548,-4.771,1.485
4.442,-6.37,3.188,1.967,-4.782,0.36
4.334,-5.199,1.608,1.667,-4.462,-0.967
5.21,-5.129,-0.06,1.564,-3.598,-2.417
7.575,-4.387,-2.182,1.764,-2.507,-3.677
10.814,-4.219,-1.807,2.246,-2.149,-4.838
13.323,-6.388,2.426,2.756,-1.655,-5.698
17.515,-10.95,11.236,1.74,-0.467,-5.419
21.104,-10.904,23.345,-0.451,-0.823,-3.816
23.428,-3.301,35.325,-2.765,-0.966,-0.806
28.159,3.976,45.055,-5.253,-0.779,2.35
28.012,14.609,44.949,-7.73,0.022,4.762
26.04,26.658,36.932,-8.223,-0.634,5.418
22.881,30.846,23.836,-6.629,0.498,4.949
