ax,ay,az,gx,gy,gz
-39.465,1.257,24.131,-4.571,0.565,-4.522
-35.22,8.406,24.022,-5.371,0.701,-6.683
-28.521,17.362,19.566,-5.199,0.689,-6.601
-21.666,22.183,13.694,-3.798,0.464,-4.477
-15.033,19.213,4.882,-1.568,0.011,-2.113
-8.983,10.13,-1.202,0.714,0.024,0.238
-10.149,1.421,-0.619,1.987,0.185,2.115
-11.051,-5.735,1.555,2.398,0.527,2.638
-10.796,-9.643,2.922,2.272,1.06,2.62
-8.333,-10.324,3.27,1.964,1.666,2.638
-6.899,-9.437,3.199,1.734,1.604,2.683
-6.367,-8.881,2.903,1.654,1.501,2.637
-5.954,-7.846,2.979,1.533,1.215,2.505
-5.787,-6.326,2.272,1.24,0.6,2.411
-6.036,-4.31,1.81,0.921,0.163,2.576
-6.77,-2.821,0.97,0.596,-0.059,2.917
-8.824,-1.982,0.41,0.258,-0.129,3.497
-15.587,-4.884,2.0,-0.193,-0.326,3.578
-24.24,-9.079,6.702,-1.163,-0.256,1.568
-34.967,-6.391,14.532,-2.754,0.074,-0.978
-41.137,0.53,19.641,-4.291,0.638,-3.717
-38.04,9.425,19.692,-4.912,0.901,-5.859
-29.927,17.755,16.217,-4.476,1.047,-6.276
-22.109,23.719,11.005,-2.959,0.711,-4.065
-14.106,18.54,3.976,-0.75,0.458,-1.737
-8.247,8.692,-0.337,1.18,0.139,0.569
-9.732,-2.194,0.214,2.049,0.125,2.128
-11.454,-8.58,1.388,2.057,0.648,2.539
-10.319,-12.024,2.147,1.557,1.655,2.368
-6.778,-11.213,1.366,1.047,2.169,2.436
-4.883,-9.828,0.823,0.771,2.222,2.662
-4.795,-8.064,0.124,0.617,1.956,2.743
-4.568,-7.753,0.168,0.481,1.616,2.572
-5.148,-6.146,-0.406,0.463,0.933,2.244
-5.873,-5.098,-0.377,0.55,0.207,1.843
-6.294,-3.81,-0.285,0.582,-0.088,1.67
-5.536,-2.376,-0.453,0.628,-0.432,2.078
-9.016,-2.976,0.428,0.58,-0.935,2.98
-17.984,-9.959,4.062,-0.064,-0.89,2.559
-26.829,-11.775,9.087,-1.717,-0.641,0.564
-35.207,-6.134,14.101,-3.346,-0.153,-1.796
-37.786,-1.3,16.285,-4.271,0.484,-4.23
-33.275,5.922,14.702,-4.448,0.786,-5.773
-24.021,16.195,10.117,-3.675,0.755,-5.157
-16.365,18.525,4.01,-1.731,0.461,-2.539
-11.097,10.985,-0.964,0.274,-0.029,-0.032
