ax,ay,az,gx,gy,gz
-2.027,19.991,6.254,-1.328,-2.142,0.694
-0.551,15.5,4.947,1.225,-2.165,0.18
-0.566,-4.106,5.371,3.765,-2.744,-1.046
-5.662,-14.443,2.763,3.76,-0.357,-0.817
-2.981,-19.731,4.191,2.976,1.05,0.733
3.075,-18.208,2.362,2.158,2.378,1.252
3.403,-14.777,2.113,1.386,0.938,1.209
2.19,-12.412,0.965,0.524,-0.091,0.832
1.277,-13.517,2.214,0.087,-0.71,0.222
1.634,-17.58,3.732,-0.45,-1.141,-0.626
0.304,-22.548,6.067,-1.285,-1.602,-1.568
-1.658,-23.972,7.325,-2.582,-0.835,-1.716
-3.103,-18.305,9.963,-4.26,0.773,-0.697
1.049,-2.258,8.114,-4.585,2.496,0.788
4.36,8.662,11.767,-4.011,1.521,0.917
5.265,22.15,6.763,-2.872,0.655,0.646
4.509,25.973,8.31,-0.724,-1.744,0.574
1.369,15.463,6.509,2.037,-3.643,-0.544
-3.632,-2.716,7.719,3.527,-4.007,-1.506
-5.973,-10.428,2.796,3.984,-1.353,-0.887
-4.115,-19.51,5.652,3.922,0.197,0.161
-1.2,-22.188,2.855,3.113,1.592,0.352
2.593,-16.537,1.832,2.07,1.691,0.619
2.031,-12.425,1.348,0.864,0.354,0.479
0.677,-13.444,2.35,0.035,-0.558,0.202
0.856,-17.828,4.67,-0.768,-1.138,-0.617
-1.047,-22.482,6.967,-1.781,-1.849,-1.442
-3.781,-23.287,8.501,-2.999,-1.016,-1.442
-4.864,-14.707,11.194,-4.594,0.685,-0.273
2.537,-0.453,10.441,-4.615,2.437,0.941
4.914,12.627,10.748,-3.772,1.466,1.013
4.955,23.459,7.403,-2.456,0.783,0.68
3.66,25.129,9.512,-0.193,-1.744,0.033
1.916,11.526,6.111,2.487,-3.205,-1.521
-5.114,-3.957,6.459,3.789,-3.239,-2.397
-5.846,-13.009,3.549,3.925,-1.269,-1.544
-3.809,-19.66,4.256,3.768,0.017,-0.337
-0.316,-20.838,0.577,2.885,1.699,0.227
2.09,-15.067,0.986,1.967,1.398,0.603
0.782,-11.193,-0.235,0.718,-0.244,0.51
-1.17,-13.097,1.014,0.209,-0.162,0.158
-0.02,-18.217,3.694,-0.335,-0.32,-0.625
-1.049,-23.121,6.645,-1.195,-0.921,-1.406
-3.212,-23.693,7.959,-2.641,-0.052,-1.346
-5.634,-10.219,11.698,-4.27,1.624,-0.18
1.813,4.97,13.418,-4.262,3.065,0.833
3.661,19.158,14.364,-3.625,1.937,0.513
1.025,29.45,11.743,-2.176,0.856,0.461
-0.786,29.444,13.61,0.25,-1.466,0.19
1.326,11.179,10.011,3.013,-2.409,-1.3
-4.422,-4.208,7.322,4.044,-2.557,-2.242
